canonical_site_code,canonical_site_name,canonical_operational_customer,canonical_contract_supply_amount,production_site_uuid,production_site_name,production_customer_name,production_legacy_budget,contract_amount_comparison,classification,confidence,matching_basis,candidate_count,recommended_action,review_reason,protected_same_name_group
S017,송도센터파크,삼표피앤씨 주식회사,1800000,5603ec61-debc-40d3-bef8-c602be4f9f43,송도센터파크탑라이트 설계변경으로 인한 보수의건,삼표피앤씨 주식회사,1800000,EXACT_AMOUNT,DUPLICATE_NAME_SEPARATE_CONTRACT,MEDIUM,protected SONGDO; amount agrees; customer agrees; name score 0.38,2,DEFER,Separate-contract rule fixed; UUID linkage requires review,SONGDO
S018,아이에스동서 부산기장 PC세그먼트 볼트박스·마감,(주) 지엠에스코리아,5800000,5d4991b9-bdd3-449c-a152-6d27cff37271,아이에스동서 부산기장  PC세그먼트 볼트박스 보수 및 마감공사,(주) 지엠에스코리아,5800000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.85),1,LINK,,
S020,창원 더퍼스트 (현대건설),(주)건성,46727555,6a0aa6e1-a1fe-45a4-b59a-a1d054a222aa,창원 더퍼스트(현대건설) 지하주차장 PC부재보수,(주)건성,46727555,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.62),1,LINK,,
S021,힐스테이트 세종2차 가온마을1단지 (현대엔지니어링),삼표피앤씨 주식회사,7049000,70311803-50f0-45ad-958a-386055af6d93,힐스테이트 세종2차 가온마을1단지(현대엔지니어링) PC부재,삼표피앤씨 주식회사,7049000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.92),1,LINK,,
S023,힐스테이트 부천 범박 일루미스테이트 (현대건설),삼표피앤씨 주식회사,4809000,81518e5e-c844-427d-bec7-c61a1a82cfa3,힐스테이트 부천 범박 일루미스테이트(현대건설) PC부재 보수,삼표피앤씨 주식회사,4809000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.84),1,LINK,,
S024,M15 설계오류 부재 (이천공장),아이에스동서(주) 이천지점,900000,821ddde1-4045-4fc3-b74d-e78c41fb67a8,M15 설계오류 부재 보수공사(이천공장),아이에스동서(주) 이천지점,900000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.79),1,LINK,,
S026,일산 이편한세상 기둥 면처리28개소,주식회사 소명건설,1980000,88a24862-f8e6-41d0-bc00-ae10c4217b57,일산 이편한세상 기둥 면처리28개소,주식회사 소명건설,1980000,EXACT_AMOUNT,EXACT,HIGH,normalized display name + customer + contract amount,1,LINK,,
S027,인천검단 AA10-1BL 공동주택 PC공사,(주)삼일씨엔에스,12000000,8bee6a1c-0e78-486e-8b37-7382b8dafcd2,인천검단 AA10-1BL 공동주택 지하주차장 PC공사 보수 용역,(주)삼일씨엔에스,12000000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.76),1,LINK,,
S029,힐스테이트 당진 (현대건설),삼표피앤씨 주식회사,8729000,99632d90-511a-44d6-afd4-3f6769d29c91,힐스테이트 당진(현대건설) 지하주차장 PC부재 보수,삼표피앤씨 주식회사,8729000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.65),2,LINK,,
S030,인천검단 이편한세상 HCS 워터홀 망사,주식회사 소명건설,10000000,9e120ad2-633c-4269-bae6-15b168ccbcb6,인천검단 이편한세상 HCS 워터홀 망사보수,주식회사 소명건설,10000000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.94),2,LINK,,
S032,이천중리2차우미 PC거더마감,한국오션플랫폼 주식회사,7800000,a6ae13b4-44ae-4640-bee3-8c9146851992,이천중리2차우미 지하주차장 PC거더마감보수,한국오션플랫폼 주식회사,7800000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.73),1,LINK,,
S033,"반포래미안 1차, 최종기성",(주)케이씨산업,20000000,ab405b52-9df3-4979-b47c-dd01eee0f695,"반포래미안 PC부재 보수공사 1차,최종기성",(주)케이씨산업,20000000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.64),1,LINK,,
S034,이천중리지구우미 PC거더 균열·면마감,(주)케이세웅건설 충주피씨공장,19900000,ad41c8b8-acb7-44d9-b78a-4451b3266965,이천중리지구우미 지하주차장pc거더균열보수및면보수마감,(주)케이세웅건설 충주피씨공장,19900000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.63),1,LINK,,
S035,속초 힐스테이트 균열,(주)삼표산업 인천몰탈공장,6970000,ae1a4bec-35c3-4401-be6a-1e082e45b071,속초 힐스테이트 균열보수,(주)삼표산업 인천몰탈공장,6203750,DIFFERENT_AMOUNT,REVIEW_REQUIRED,LOW,candidate ranking only (0.89),3,DEFER,Insufficient multi-evidence identity proof,
S036,"HS 동탄파크릭스 1, 2BL (마감)",삼표피앤씨 주식회사,15400000,b55587d1-d9b8-4232-b288-58a7186d402b,"HS 동탄파크릭스 1, 2BL PC부재(마감)보수",삼표피앤씨 주식회사,15400000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.75),1,LINK,,
S037,동탄파크릭스 (동부건설) 노출마감,제이와이 컨스트럭션,6000000,bf4a0840-212d-44c1-b764-df2ef94cae67,동탄파크릭스(동부건설) PC부재 노출마감,제이와이 컨스트럭션,6000000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.80),1,LINK,,
S039,청주 sk 하이닉스 m15x,주식회사 주한산업,700000,caf73f1f-ba0c-4eca-9f6e-1c253307ae74,청주 sk 하이닉스 m15x 보수,주식회사 주한산업,700000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.92),2,LINK,,
S040,힐스테이트 익산 마동 (현대건설),삼표피앤씨 주식회사,2520000,ce807ee2-7e23-48e2-81e5-a33f10a2fc19,힐스테이트 익산 마동(현대건설) PC부재 보수,삼표피앤씨 주식회사,2520000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.80),1,LINK,,
S041,안성CDC (KR산업) 물류센터,(주)건성,26440400,d594d11e-d208-43f7-bb4e-d38672645893,안성CDC(KR산업) 물류센터 PC부재보수,(주)건성,26440400,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.80),1,LINK,,
S042,용인 Y1 SK하이닉스 IBL CUB동 PC 이색 보수공사(2025-09 기술용역),아이에스동서(주),5740000,dd456f1f-4032-4026-ad3e-5b1b2a0b34de,용인 Y1 SK하이닉스 IBL CUB동 PC 이색 보수공사,아이에스동서(주),5740000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.83),4,LINK,,
S044,현대테라타워 시흥시청역 균열 2차,(주)삼표산업 인천몰탈공장,995000,de226854-b1d1-4f9e-abf6-ebe923101557,현대테라타워 시흥시청역 균열보수 2차,(주)삼표산업 인천몰탈공장,995000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.87),2,LINK,,
S045,인천검단 이편한세상 PC조인트 충진 및제거,주식회사 명인이엔지,3000000,ed744319-1e57-45f4-8933-5f52b54f7a4d,인천검단 이편한세상 PC조인트 충진 및제거,주식회사 명인이엔지,3000000,EXACT_AMOUNT,EXACT,HIGH,normalized display name + customer + contract amount,1,LINK,,
S046,힐스테이트 용인 둔전역 (현대건설) 마감,삼표피앤씨 주식회사,4256000,f06f70ab-9174-45f8-97ce-b822a1b8ecdf,힐스테이트 용인 둔전역(현대건설) PC부재 (마감)보수,삼표피앤씨 주식회사,4256000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.78),1,LINK,,
S048,은평 자이더스타,(주)삼표산업 인천몰탈공장,1690000,01c1c191-6350-476e-99ea-fbebdbe414c3,은평 자이더스타,(주)삼표산업 인천몰탈공장,1690000,EXACT_AMOUNT,EXACT,HIGH,normalized display name + customer + contract amount,1,LINK,,
S049,공덕자이 PC발코니 부재,(주)금형건설,3800000,020eae00-97cb-4f37-ad1e-0c2fbcbfb797,공덕자이 PC발코니 부재 보수공사,(주)금형건설,3800000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.83),1,LINK,,
S050,용인 Y1 SK하이닉스 IBL CUB동 PC 이색 보수 철야공사(2025-12),아이에스동서(주),18200000,05b1575c-b4f0-48c7-9a45-4d45e031cc2d,용인 Y1 SK하이닉스 IBL CUB동 PC 이색 보수 철야공사(12월),아이에스동서(주),18200000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.89),5,LINK,,
S051,힐스테이트 마포더퍼스트 균열,(주)삼표산업 인천몰탈공장,962500,0cd62e37-d43e-45ad-aafa-879c41a86c6b,힐스테이트 마포더퍼스트 균열보수,(주)삼표산업 인천몰탈공장,962500,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.92),2,LINK,,
S052,음성파일공장 바닥 크랙,아이에스동서(주),1845000,0ed1c438-90fb-4244-ac7f-f90b5978a487,음성파일공장 바닥 크랙보수,아이에스동서(주),1845000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.90),1,LINK,,
S053,대전 가장 더퍼스트 힐스테이트,삼표피앤씨 주식회사,5600000,168e1c9a-0686-44c8-a54c-33c7a2180f83,대전가장더퍼스트,삼표피앤씨 주식회사,5600000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.74),2,LINK,,
S054,동양 인천검단레이트,(주)삼일씨엔에스,9230000,1881dfa7-1412-40ae-aca9-44f7ec4cc7d9,동양 인천검단레이트,(주)삼일씨엔에스,9230000,EXACT_AMOUNT,EXACT,HIGH,normalized display name + customer + contract amount,1,LINK,,
S055,여주점봉물류센터 (한화건설),(주)삼일씨엔에스,247885700,29655d43-31af-4707-b8c5-fd506ab8fcfa,여주점봉물류센터(한화건설) PC부재 보수,(주)삼일씨엔에스,247885700,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.79),1,LINK,,
S056,이랜드 북가좌 임대주택 (특수),(주)삼표산업 인천몰탈공장,3390000,2ff5d22d-5cb2-4242-904b-ca2abe41fe88,이랜드 북가좌 임대주택(특수보수),(주)삼표산업 인천몰탈공장,3390000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.92),1,LINK,,
S057,양우건설 과천지식정보타운 균열,(주)삼표산업 인천몰탈공장,1993750,351eadf5-1688-4a75-a2fd-bc77d646d956,양우건설 과천지식정보타운 균열보수,(주)삼표산업 인천몰탈공장,1993750,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.93),1,LINK,,
S058,포항 환호공원1블럭 (현대건설),삼표피앤씨 주식회사,94511500,3a17153c-9d21-4759-a804-c6cf1da4d82a,포항 환호공원1블럭(현대건설) 지하주차장 PC부재 보수,삼표피앤씨 주식회사,94511500,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.69),1,LINK,,
S059,이천중리우미2차 PC 기둥,한국오션플랫폼 주식회사,1500000,3e9d2aad-ead8-4f41-b557-0572fc40d7eb,이천중리우미2차 PC 기둥보수,한국오션플랫폼 주식회사,1500000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.92),1,LINK,,
S060,"용인Y1하이닉스 cub동 6층 (4월, 5월발행)",현대PCE,10700000,4264c4d1-c564-4b6a-996f-49254a2b526a,"용인Y1하이닉스 cub동 6층(4월,5월발행)",현대PCE,10700000,EXACT_AMOUNT,EXACT,HIGH,normalized display name + customer + contract amount,1,LINK,,
S061,인천주안힐스테이트 균열 (25년1월청구),삼표피앤씨 주식회사,14553000,4e2e9be4-4f93-4520-8adf-0df85dc9a86f,인천주안힐스테이트 균열보수(25년1월청구),삼표피앤씨 주식회사,14553000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.89),1,LINK,,
S062,대전 도안1단지 (현대건설),삼표피앤씨 주식회사,27239000,501c2606-3c41-4d8c-ba8e-eec823baf669,대전 도안1단지(현대건설) 지하주차장 PC부재 보수,삼표피앤씨 주식회사,27239000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.65),2,LINK,,
S063,PC기둥 미니브라켓 설계누락 외,주식회사 이앤디몰구조엔지니어링,31240000,5a20db88-710f-4c13-afc9-c4663d6592ae,PC기둥 미니브라켓 설계누락 외,주식회사 이앤디몰구조엔지니어링,31240000,EXACT_AMOUNT,EXACT,HIGH,normalized display name + customer + contract amount,1,LINK,,
S064,대전도안 지하차도,유한회사 대영,2300000,5b925522-72de-4297-a8bd-2091c6e1e071,대전지하차도 PCWALL 상부 단차보강작업,유한회사 대영,2300000,EXACT_AMOUNT,DUPLICATE_NAME_SEPARATE_CONTRACT,MEDIUM,protected DAEJEON; amount agrees; customer agrees; name score 0.31,2,DEFER,Separate-contract rule fixed; UUID linkage requires review,DAEJEON
S065,대조1구역,(주)삼표산업 인천몰탈공장,25531250,,,,,PRODUCTION_NULL_OR_ZERO,CANONICAL_ONLY,0,no credible Production candidate,0,KEEP_CANONICAL_ONLY,,DAEJO
S066,광주신용더리버,삼표피앤씨 주식회사,4596900,78db9ec3-4577-4582-ab0e-c880ca954dff,광주신용더리버,삼표피앤씨 주식회사,4596900,EXACT_AMOUNT,EXACT,HIGH,normalized display name + customer + contract amount,1,LINK,,
S067,여수 죽림더프라우드 (현대건설),삼표피앤씨,39989000,9ddbc746-f1a2-47da-99d5-483239c91fb4,여수 죽림더프라우드(현대건설)지하주차장 PC부재 보수 2차,삼표피앤씨 주식회사,0,PRODUCTION_NULL_OR_ZERO,DUPLICATE_NAME_SEPARATE_CONTRACT,MEDIUM,protected YEOSU; amount differs; customer agrees; name score 1.00,3,DEFER,Separate-contract rule fixed; UUID linkage requires review,YEOSU
S068,여수 죽림더프라우드 (현대건설),삼표피앤씨,17030000,819c0b09-d093-4717-a09d-86896d527845,심표설계 삼표포항공장(여수죽림 발코니),삼표피앤씨 주식회사,17030000,EXACT_AMOUNT,DUPLICATE_NAME_SEPARATE_CONTRACT,HIGH,protected YEOSU; amount agrees; customer agrees; name score 0.81,5,LINK_AFTER_USER_REVIEW,Separate-contract rule fixed; UUID linkage requires review,YEOSU
S069,고양 장항 풍경채 (특수),(주)삼표산업 인천몰탈공장,16150000,81f58ea5-0cdb-4c84-8680-66f5b351c169,고양 장항 풍경채(특수보수),(주)삼표산업 인천몰탈공장,16150000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.89),2,LINK,,
S070,대전학하동포레나 HCS인젝션,(주)케이세웅건설 충주피씨공장,2600000,88163fcf-1897-4924-ba5c-eedad4b1e9fc,대전학하동포레나 HCS인젝션보수,(주)케이세웅건설 충주피씨공장,2600000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.93),1,LINK,,
S071,화성제조,주식회사이노피앤씨,0,89e6af95-832d-42d6-aae4-ec9cb0ba60cd,화성제조,주식회사이노피앤씨,0,PRODUCTION_NULL_OR_ZERO,EXACT,HIGH,normalized display name + customer + contract amount,1,LINK,,
S074,"포항 환호공원2블럭 (현대건설) (7월, 9월, 10월, 11월)",삼표피앤씨 주식회사,78687800,9663923c-070f-4753-9476-b5142829a389,"포항 환호공원2블럭(현대건설) 지하주차장 PC부재 보수(7월, 9월, 10월, 11월)",삼표피앤씨 주식회사,78687800,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.75),1,LINK,,
S075,용인 Y1 IBL CUB동 이색보수 철야공사(2025-11),아이에스동서(주),17890000,974ddc6a-97c5-48a5-b13a-5361af92c896,용인 Y1 IBL CUB동 이색보수 철야공사(11월),아이에스동서(주),17890000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.84),5,LINK,,
S076,동탄 물류센터 OEM (까뮤이앤씨),아이에스동서(주) 이천지점,4500000,976f1289-1381-4c7e-9e36-35ecfd78409f,동탄 물류센터 OEM(까뮤이앤씨) PC부재 보수,아이에스동서(주) 이천지점,4500000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.81),1,LINK,,
S077,방배5구역,삼표피앤씨 주식회사,112400000,97ad1dbb-5165-4878-a819-700601172e16,방배5구역,삼표피앤씨 주식회사,112400000,EXACT_AMOUNT,EXACT,HIGH,normalized display name + customer + contract amount,1,LINK,,
S080,안양평촌트리지아 (현대건설),삼표피앤씨 주식회사,6714000,a6f65905-c751-43af-8e19-b1dbead58c1d,안양평촌트리지아(현대건설),삼표피앤씨 주식회사,6714000,EXACT_AMOUNT,EXACT,HIGH,normalized display name + customer + contract amount,1,LINK,,
S081,"용인Y1FAB동 지상2, 3층 그리드빔 단차",삼표피앤씨 주식회사,0,b06866b7-c5ee-4808-aaf6-e54a01644a2c,"용인Y1FAB동 지상2,3층 그리드빔 단차보수",삼표피앤씨 주식회사,0,PRODUCTION_NULL_OR_ZERO,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.95),2,LINK,,
S082,충남미술관 공영주차장 (도원이엔씨),삼표피앤씨 주식회사,8344000,b147d87a-f04b-4cf4-b287-34689e4bc7b3,충남미술관 공영주차장(도원이엔씨) PC부재 보수,삼표피앤씨 주식회사,8344000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.82),1,LINK,,
S083,까뮤이앤씨 이천공장 용인 Y1 코어 계단실 전기박스 보수,주식회사 연우구조,2200000,bf7cba46-eee4-4f3e-b5bf-f76ac25c9920,까뮤이앤씨 이천공장 용인 Y1 코어 계단실 전기박스 보수,주식회사 연우구조,2200000,EXACT_AMOUNT,EXACT,HIGH,normalized display name + customer + contract amount,2,LINK,,
S084,SK하이닉스 Y1 CUB동 (SK에코플랜트) 기술용역 (2층),삼표피앤씨 주식회사,13451700,bfc6fa05-10e8-4e63-8693-97d20586649f,SK하이닉스 Y1 CUB동(SK에코플랜트) PC부재 보수 기술용역(2층),삼표피앤씨 주식회사,13451700,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.85),5,LINK,,
S085,광주첨단센트럴 (현대엔지니어링),삼표피앤씨 주식회사,92779200,c00550ed-9531-4124-b7e7-6c1eccdf7982,광주첨단센트럴(현대엔지니어링),삼표피앤씨 주식회사,92779200,EXACT_AMOUNT,EXACT,HIGH,normalized display name + customer + contract amount,2,LINK,,
S087,개포1단지 (현대건설),삼표피앤씨 주식회사,9772300,c372bfd4-19ef-4f6e-9d9d-c1f802fd1613,개포1단지(현대건설) 지하주차장 PC부재 보수,삼표피앤씨 주식회사,9772300,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.59),1,LINK,,
S088,경산제4물류센터 (현대건설),삼표피앤씨 주식회사,5321700,c7bbb8d1-9824-41f4-ac3d-9f38791295b1,경산제4물류센터(현대건설),삼표피앤씨 주식회사,5321700,EXACT_AMOUNT,EXACT,HIGH,normalized display name + customer + contract amount,1,LINK,,
S089,넥스티엘 검단 101,(주)삼표산업 인천몰탈공장,2578750,c94892d8-e7a3-4888-8267-0b7734a7b8bf,넥스티엘 검단 101,(주)삼표산업 인천몰탈공장,2578750,EXACT_AMOUNT,EXACT,HIGH,normalized display name + customer + contract amount,1,LINK,,
S090,아산 탕정지구 A-2BL 공동주택,(주)케이세웅건설 충주피씨공장,800000,cbe2f007-9e29-4902-8d76-343d5cef005b,아산 탕정지구 A-2BL 공동주택 지하주차장 인젝션 균열보수,(주)케이세웅건설 충주피씨공장,800000,EXACT_AMOUNT,DUPLICATE_NAME_SEPARATE_CONTRACT,HIGH,protected ASAN; amount agrees; customer agrees; name score 0.68,2,LINK_AFTER_USER_REVIEW,Separate-contract rule fixed; UUID linkage requires review,ASAN
S091,송도센터파크,삼표피앤씨 주식회사,19962800,d518d26a-3405-436a-9ea9-da20896dd8f4,송도센터파크,삼표피앤씨 주식회사,19962800,EXACT_AMOUNT,DUPLICATE_NAME_SEPARATE_CONTRACT,HIGH,protected SONGDO; amount agrees; customer agrees; name score 1.00,1,LINK_AFTER_USER_REVIEW,Separate-contract rule fixed; UUID linkage requires review,SONGDO
S092,힐스테이트 마크로엔 램프,삼표피앤씨 주식회사,15300000,da24a359-d76e-4f31-bc31-b72917804f60,힐스테이트 마크로엔 PC부재 램프 보수,삼표피앤씨 주식회사,15300000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.69),1,LINK,,
S093,울산샤힌,삼표피앤씨 주식회사,29730000,dcb40097-9c17-489f-a7cc-af4c5902fd32,울산샤힌,삼표피앤씨 주식회사,29730000,EXACT_AMOUNT,EXACT,HIGH,normalized display name + customer + contract amount,1,LINK,,
S094,케이원 김포로지스 (SK에코플랜트) 물류센터,삼표피앤씨 주식회사,3811500,de08a5a5-c9de-4405-acce-5819699ea197,케이원 김포로지스(SK에코플랜트)물류센터 PC부재 보수,삼표피앤씨 주식회사,3811500,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.86),1,LINK,,
S095,힐스테이트 푸르지오수원 (현대건설),(주)건성,4222750,dffeaf59-cf7b-4338-a2d9-f2b5b1d4b9b0,힐스테이트 푸르지오수원(현대건설)PC부재 보수,(주)건성,4222750,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.82),1,LINK,,
S096,광주중앙공원,삼표피앤씨 주식회사,0,e9e3b646-e357-4d1e-993d-570d9579fc27,광주중앙공원,삼표피앤씨 주식회사,0,PRODUCTION_NULL_OR_ZERO,EXACT,HIGH,normalized display name + customer + contract amount,2,LINK,,
S097,이천덕평물류마감 지원,제이와이 컨스트럭션,1400000,eb866df7-496e-4c7f-b0ff-4043fd604767,이천덕평물류마감 지원,제이와이 컨스트럭션,1400000,EXACT_AMOUNT,EXACT,HIGH,normalized display name + customer + contract amount,1,LINK,,
S098,기타,주식회사이노피앤씨,0,ef14d53d-fc45-4054-991f-6878b2e56dd4,기타,주식회사이노피앤씨,0,PRODUCTION_NULL_OR_ZERO,EXACT,HIGH,normalized display name + customer + contract amount,1,LINK,,
S099,용인 Y1 OBL WWT 엠베드 녹제거 및 마감보수,아이에스동서(주) 이천지점,9700000,f082af25-98b6-4239-9cef-7416bb2c65fa,용인 Y1 OBL WWT 엠베드 녹제거 및 마감보수,아이에스동서(주) 이천지점,9700000,EXACT_AMOUNT,EXACT,HIGH,normalized display name + customer + contract amount,1,LINK,,
S100,힐스테이트 몬테로이 (1·2·3BL 통합),삼표피앤씨 주식회사,113115000,,,,,PRODUCTION_NULL_OR_ZERO,CANONICAL_ONLY,0,no credible Production candidate,0,KEEP_CANONICAL_ONLY,,
S101,김포북변 파손·할로코어 타설홀 컷팅·부분마감,주식회사 소명건설,1500000,f4bab9c2-c9d7-4e53-9f9e-d2ce0f99a813,김포북변 파손 보수 및 할로코어 타설홀 컷팅 및 부분 보수부위 마감,주식회사 소명건설,1500000,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.70),1,LINK,,
S102,고양 장항 풍경채 (일반),(주)삼표산업 인천몰탈공장,5158750,f5806943-8c4f-4e71-82ce-96322b157068,고양 장항 풍경채(일반보수),(주)삼표산업 인천몰탈공장,5158750,EXACT_AMOUNT,AUTO_SAFE_LINK,HIGH,single candidate supported by customer + amount + name context (0.89),2,LINK,,
