review_id,entity_type,canonical_identity,production_candidate_uuid,production_candidate_label,other_candidates,evidence,risk,recommended_decision,user_decision,user_note
P4-0013,SITE,S130:SK하이닉스 Y1 CUB(SK에코플랜트) 반도체 PC공사 6·7층 PC부재 보수 기술용역,f58b7fa1-c5fa-47a5-ac78-6c226da1019b,SK하이닉스 Y1 CUB(SK에코플랜트) 반도체 PC공사 6층 PC부재 보수,ef9c3818-7163-438b-8e5d-f0e50e9298ff:SK하이닉스 Y1 CUB(SK에코플랜트) 반도체 PC공사 5층 PC부재 보수 | bfc6fa05-10e8-4e63-8693-97d20586649f:SK하이닉스 Y1 CUB동(SK에코플랜트) PC부재 보수 기술용역(2층) | 127e46f3-9d4d-4fba-b276-bcf53791befd:SK하이닉스 Y1 CUB동(SK에코플랜트) PC부재 보수 | b6cf6218-b702-4e53-9396-ca18ea47a277:SK하이닉스 Y1 CUB동(SK에코플랜트) 4층 마감보수,candidate ranking only (0.89),HIGH,DEFER,,
P4-0014,SITE,S132:대조1구역,364b1248-5fb1-4db8-aadf-d5ea9e5a775e,"대조1구역 1,2공구 균열보수(26년1월)",,protected DAEJO; amount agrees; customer agrees; name score 0.38,HIGH,DEFER,,
P4-0015,SITE,S137:용인클러스터 1기 CUB동 PC제작 납품 보수,bb3bf261-1cf9-4594-b044-03d6e46971eb,용인클러스터 1기 CUB동PC제작 납품 부재 보수,,candidate ranking only (0.90),HIGH,DEFER,,
P4-0016,SITE,S138:용인Y1하이닉스 IBL CUB 6층 PC 기둥 할석 및 미장 보수공사,df54b839-2cd3-416b-b2c1-db81b70b681a,용인Y1하이닉스 IBL CUB 6층 PC 기둥 할석 및 미장 보수공사,dd456f1f-4032-4026-ad3e-5b1b2a0b34de:용인 Y1 SK하이닉스 IBL CUB동 PC 이색 보수공사 | 05b1575c-b4f0-48c7-9a45-4d45e031cc2d:용인 Y1 SK하이닉스 IBL CUB동 PC 이색 보수 철야공사(12월) | a09de46d-86ac-4840-a339-2149a816ced8:용인Y1 IBL CUB현장 보수,candidate ranking only (1.00),HIGH,DEFER,,
P4-0017,SITE,S147:대전도안 지하차도,2c636eae-9796-491c-80f9-45de9ca46d6f,대전도안 지하차도 PC단차 보수공사,,protected DAEJEON; amount agrees; customer agrees; name score 0.64,HIGH,LINK,,
P4-0018,SITE,S148:인천검단 AA19BL 이편한세상,216a794c-d602-4735-9bce-4adbcf870b9a,인천검단19BL 이편한세상(망사테잎),,protected INCHEON_AA19; amount agrees; customer agrees; name score 0.73,HIGH,LINK,,
P4-0019,SITE,S150:용인 Y1 SK하이닉스 FAB동,dd456f1f-4032-4026-ad3e-5b1b2a0b34de,용인 Y1 SK하이닉스 IBL CUB동 PC 이색 보수공사,,protected YONGIN_FAB; amount differs; customer differs; name score 0.54,HIGH,DEFER,,
P4-0020,SITE,S151:용인 Y1 IBL CUB동 이색보수 철야공사(2026-03),418b5d43-83c3-43ed-be95-9696891e0be0,용인 Y1 IBL CUB동 이색보수 철야공사(2월),974ddc6a-97c5-48a5-b13a-5361af92c896:용인 Y1 IBL CUB동 이색보수 철야공사(11월) | 05b1575c-b4f0-48c7-9a45-4d45e031cc2d:용인 Y1 SK하이닉스 IBL CUB동 PC 이색 보수 철야공사(12월) | dd456f1f-4032-4026-ad3e-5b1b2a0b34de:용인 Y1 SK하이닉스 IBL CUB동 PC 이색 보수공사 | a09de46d-86ac-4840-a339-2149a816ced8:용인Y1 IBL CUB현장 보수,candidate ranking only (0.86),HIGH,DEFER,,
P4-0021,SITE,S152:용인 Y1 IBL CUB동 이색보수 철야공사(2026-04),418b5d43-83c3-43ed-be95-9696891e0be0,용인 Y1 IBL CUB동 이색보수 철야공사(2월),974ddc6a-97c5-48a5-b13a-5361af92c896:용인 Y1 IBL CUB동 이색보수 철야공사(11월) | 05b1575c-b4f0-48c7-9a45-4d45e031cc2d:용인 Y1 SK하이닉스 IBL CUB동 PC 이색 보수 철야공사(12월) | dd456f1f-4032-4026-ad3e-5b1b2a0b34de:용인 Y1 SK하이닉스 IBL CUB동 PC 이색 보수공사 | a09de46d-86ac-4840-a339-2149a816ced8:용인Y1 IBL CUB현장 보수,candidate ranking only (0.86),HIGH,DEFER,,
P4-0022,SITE,S153:용인 Y1 IBL CUB동 이색보수 철야공사(2026-05),418b5d43-83c3-43ed-be95-9696891e0be0,용인 Y1 IBL CUB동 이색보수 철야공사(2월),974ddc6a-97c5-48a5-b13a-5361af92c896:용인 Y1 IBL CUB동 이색보수 철야공사(11월) | 05b1575c-b4f0-48c7-9a45-4d45e031cc2d:용인 Y1 SK하이닉스 IBL CUB동 PC 이색 보수 철야공사(12월) | dd456f1f-4032-4026-ad3e-5b1b2a0b34de:용인 Y1 SK하이닉스 IBL CUB동 PC 이색 보수공사 | a09de46d-86ac-4840-a339-2149a816ced8:용인Y1 IBL CUB현장 보수,candidate ranking only (0.86),HIGH,DEFER,,
P4-0023,SITE,S154:용인 Y1 SK하이닉스 IBL CUB동 PC 이색 보수 주간공사(2026-06/8층),dd456f1f-4032-4026-ad3e-5b1b2a0b34de,용인 Y1 SK하이닉스 IBL CUB동 PC 이색 보수공사,05b1575c-b4f0-48c7-9a45-4d45e031cc2d:용인 Y1 SK하이닉스 IBL CUB동 PC 이색 보수 철야공사(12월) | 418b5d43-83c3-43ed-be95-9696891e0be0:용인 Y1 IBL CUB동 이색보수 철야공사(2월) | df54b839-2cd3-416b-b2c1-db81b70b681a:용인Y1하이닉스 IBL CUB 6층 PC 기둥 할석 및 미장 보수공사,candidate ranking only (0.79),HIGH,DEFER,,
P4-0024,SITE,S155:용인 Y1 IBL CUB 1~8층 E/V 홀타공(코어) 보수공사,a09de46d-86ac-4840-a339-2149a816ced8,용인Y1 IBL CUB현장 보수,418b5d43-83c3-43ed-be95-9696891e0be0:용인 Y1 IBL CUB동 이색보수 철야공사(2월) | 974ddc6a-97c5-48a5-b13a-5361af92c896:용인 Y1 IBL CUB동 이색보수 철야공사(11월),candidate ranking only (0.56),HIGH,DEFER,,
P4-0025,SITE,S167:인천검단 AA19BL 이편한세상,216a794c-d602-4735-9bce-4adbcf870b9a,인천검단19BL 이편한세상(망사테잎),,protected INCHEON_AA19; amount differs; customer differs; name score 0.73,HIGH,DEFER,,
P4-0026,SITE,S168:잠실 전력구 PC부재 보수공사,247f1c4d-d22c-4ff0-8b4d-dbe17795de75,PC부재 커플러 보수공사,,candidate ranking only (0.55),HIGH,DEFER,,
P4-0027,SITE,S172:대림 인천검단 10BL & 안양덕현 위프홀 보수,493e1e2d-452c-4aef-8b2c-22aa7331c9b3,대림 인천검단 10bl &안양덕현 위프홀 보수,,candidate ranking only (1.00),HIGH,DEFER,,
P4-0028,CUSTOMER,,307b6f29-87ad-43e9-b2dd-e7a0da5ebe1f,확인중,,Production placeholder-looking value exists,MEDIUM,INVALID_LOOKING_VALUE,,
P4-0029,CUSTOMER,,6958398b-4b3e-439a-b174-b7067f2039d7,NPC-1000 10말남음,,Production placeholder-looking value exists,MEDIUM,INVALID_LOOKING_VALUE,,
P4-0030,WORKER,1톤스카이,653181f9-8715-4d7d-a759-892e0ef7ca13,1톤스카이,,Equipment-looking canonical worker identity,HIGH,DEFER,,
P4-0031,WORKER,외국인(필립),9137b6a9-30e9-4b6c-a0ce-417d8d311a5b,외국인(필립),f6490d29-623f-44a4-8d03-94a6bf01dbca:필립,필립 and 외국인(필립) coexist,HIGH,DEFER,,
